Frame,Timestamp(s),Offset(m),Direction,Drift Warning,Lane Detected
471,15.70,0.019332645695924282,Left,No,Yes
472,15.73,0.017891395806586344,Left,No,Yes
473,15.77,0.016075885849572005,Left,No,Yes
474,15.80,0.01581619533368104,Left,No,Yes
475,15.83,0.015388570057215245,Left,No,Yes
476,15.87,0.014226036510071247,Left,No,Yes
477,15.90,0.014013671739373613,Left,No,Yes
478,15.93,0.014743845585232115,Left,No,Yes
479,15.97,0.016462033402172498,Left,No,Yes
480,16.00,0.01774150486822018,Left,No,Yes
481,16.03,0.01938261758828703,Left,No,Yes
482,16.07,0.020633777827735574,Left,No,Yes
483,16.10,0.019505837595754024,Left,No,Yes
484,16.13,0.01852971657827671,Left,No,Yes
485,16.17,0.018546653707072664,Left,No,Yes
486,16.20,0.015265978926402394,Left,No,Yes
487,16.23,0.013985921587880305,Left,No,Yes
488,16.27,0.013677984801169534,Left,No,Yes
489,16.30,0.013633321499943845,Left,No,Yes
490,16.33,0.012599245638094277,Left,No,Yes
491,16.37,0.011539706470994874,Left,No,Yes
492,16.40,0.010961831885293817,Left,No,Yes
493,16.43,0.011728781797106557,Left,No,Yes
494,16.47,0.013066147848665362,Left,No,Yes
495,16.50,0.01501786813204579,Left,No,Yes
496,16.53,0.01656714152665398,Left,No,Yes
497,16.57,0.01755646348260629,Left,No,Yes
498,16.60,0.017353947086342005,Left,No,Yes
499,16.63,0.0171780055624339,Left,No,Yes
500,16.67,0.015829837230984644,Left,No,Yes
501,16.70,0.012967099271182817,Left,No,Yes
502,16.73,0.011059315300561338,Left,No,Yes
503,16.77,0.010873748113326741,Left,No,Yes
504,16.80,0.01071852996139817,Left,No,Yes
505,16.83,0.010111083926496667,Left,No,Yes
506,16.87,0.009360784284322916,Left,No,Yes
507,16.90,0.01083761436093846,Left,No,Yes
508,16.93,0.011565688242600448,Left,No,Yes
509,16.97,0.012738189538600382,Left,No,Yes
510,17.00,0.014013303670599747,Left,No,Yes
511,17.03,0.015170398230923176,Left,No,Yes
512,17.07,0.014656470971834073,Left,No,Yes
513,17.10,0.013607071251712965,Left,No,Yes
514,17.13,0.01386250714584076,Left,No,Yes
515,17.17,0.011161384761449593,Left,No,Yes
516,17.20,0.010190078070709591,Left,No,Yes
517,17.23,0.00988849913301451,Left,No,Yes
518,17.27,0.008812943279950268,Left,No,Yes
519,17.30,0.007960800870520349,Left,No,Yes
520,17.33,0.007502960826983915,Left,No,Yes
521,17.37,0.005732270561177959,Left,No,Yes
522,17.40,0.006306136851549101,Left,No,Yes
523,17.43,0.006785569415131073,Left,No,Yes
524,17.47,0.008550347607345589,Left,No,Yes
525,17.50,0.01009035151916373,Left,No,Yes
526,17.53,0.01184996808813872,Left,No,Yes
527,17.57,0.011309952669878179,Left,No,Yes
528,17.60,0.011771538868198029,Left,No,Yes
529,17.63,0.009844661629901788,Left,No,Yes
530,17.67,0.008773017358315881,Left,No,Yes
531,17.70,0.009044108365397605,Left,No,Yes
532,17.73,0.007355480980579273,Left,No,Yes
533,17.77,0.00748597529880012,Left,No,Yes
534,17.80,0.006742691766303921,Left,No,Yes
535,17.83,0.005267661607282311,Left,No,Yes
536,17.87,0.004667424259612025,Left,No,Yes
537,17.90,0.00481674327986201,Left,No,Yes
538,17.93,0.005868342881081605,Left,No,Yes
539,17.97,0.0071298969490025755,Left,No,Yes
540,18.00,0.008867148260838058,Left,No,Yes
541,18.03,0.00876595843362895,Left,No,Yes
542,18.07,0.009952483992624264,Left,No,Yes
543,18.10,0.006937211198778205,Left,No,Yes
544,18.13,0.006350841480206494,Left,No,Yes
545,18.17,0.006527111801689415,Left,No,Yes
546,18.20,0.006794251370716329,Left,No,Yes
547,18.23,0.006253380582900038,Left,No,Yes
548,18.27,0.0056699078700108,Left,No,Yes
549,18.30,0.005273352220239514,Left,No,Yes
550,18.33,0.005045140838752149,Left,No,Yes
551,18.37,0.0049062788338906675,Left,No,Yes
552,18.40,0.0047240569822401875,Left,No,Yes
553,18.43,0.006889445774420257,Left,No,Yes
554,18.47,0.008682790017802375,Left,No,Yes
555,18.50,0.008809207614705173,Left,No,Yes
556,18.53,0.009791656029531477,Left,No,Yes
557,18.57,0.010897739486728768,Left,No,Yes
558,18.60,0.006991832300362513,Left,No,Yes
559,18.63,0.008178952847135731,Left,No,Yes
560,18.67,0.007481630401803531,Left,No,Yes
561,18.70,0.007125803850733397,Left,No,Yes
562,18.73,0.007626404728580541,Left,No,Yes
563,18.77,0.007178060156775189,Left,No,Yes
564,18.80,0.0064349850831552854,Left,No,Yes
565,18.83,0.0061537260987585525,Left,No,Yes
566,18.87,0.0057084258636090675,Left,No,Yes
567,18.90,0.007457735506461775,Left,No,Yes
568,18.93,0.009431307602811623,Left,No,Yes
569,18.97,0.010849994209691639,Left,No,Yes
570,19.00,0.012233642031771573,Left,No,Yes
571,19.03,0.013121393091353881,Left,No,Yes
572,19.07,0.010074678403575895,Left,No,Yes
573,19.10,0.010355273095459574,Left,No,Yes
574,19.13,0.010187163221395474,Left,No,Yes
575,19.17,0.009309972023944204,Left,No,Yes
576,19.20,0.010085615607474532,Left,No,Yes
